date,misc_pca_component_1
2020-01-01,-19.171247523063514
2020-01-02,-19.171247523063514
2020-01-03,-8.705854525873558
2020-01-04,-19.171247523063514
2020-01-05,-19.171247523063514
2020-01-06,-2.819070964954207
2020-01-07,-6.7435933389004425
2020-01-08,-0.8568097779810913
2020-01-09,-8.051767463549186
2020-01-10,-19.171247523063514
2020-01-11,-19.171247523063514
2020-01-12,-19.171247523063514
2020-01-13,-7.3976804012248145
2020-01-14,-6.7435933389004425
2020-01-15,-10.014028650522302
2020-01-16,-3.473158027278581
2020-01-17,-5.435419214251697
2020-01-18,-19.171247523063514
2020-01-19,-19.171247523063514
2020-01-20,-7.3976804012248145
2020-01-21,3.7217996582895125
2020-01-22,3.0677125959651406
2020-01-23,39.028747213505184
2020-01-24,-3.473158027278581
2020-01-25,-19.171247523063514
2020-01-26,-19.171247523063514
2020-01-27,-9.35994158819793
2020-01-28,-7.3976804012248145
2020-01-29,-3.473158027278581
2020-01-30,-4.127245089602953
2020-01-31,-19.171247523063514
2020-02-01,-19.171247523063514
2020-02-02,-19.171247523063514
2020-02-03,-19.171247523063514
2020-02-04,-0.8568097779810913
2020-02-05,-10.014028650522302
2020-02-06,-8.051767463549186
2020-02-07,75.99095932697077
2020-02-08,-8.051767463549186
2020-02-09,-7.3976804012248145
2020-02-10,-19.171247523063514
2020-02-11,-7.3976804012248145
2020-02-12,-5.435419214251697
2020-02-13,-6.7435933389004425
2020-02-14,-8.051767463549186
2020-02-15,-19.171247523063514
2020-02-16,-19.171247523063514
2020-02-17,-4.127245089602953
2020-02-18,-9.35994158819793
2020-02-19,-2.819070964954207
2020-02-20,-2.819070964954207
2020-02-21,-9.35994158819793
2020-02-22,-8.705854525873558
2020-02-23,-19.171247523063514
2020-02-24,-5.435419214251697
2020-02-25,-4.781332151927325
2020-02-26,-2.819070964954207
2020-02-27,-3.473158027278581
2020-02-28,-4.127245089602953
2020-02-29,-19.171247523063514
2020-03-01,-19.171247523063514
2020-03-02,-2.164983902629835
2020-03-03,-6.089506276576071
2020-03-04,-19.171247523063514
2020-03-05,-4.781332151927325
2020-03-06,-8.051767463549186
2020-03-07,-19.171247523063514
2020-03-08,-19.171247523063514
2020-03-09,-19.171247523063514
2020-03-10,-8.705854525873558
2020-03-11,-19.171247523063514
2020-03-12,-8.705854525873558
2020-03-13,-6.089506276576071
2020-03-14,-19.171247523063514
2020-03-15,-19.171247523063514
2020-03-16,-3.473158027278581
2020-03-17,-4.781332151927325
2020-03-18,-19.171247523063514
2020-03-19,-19.171247523063514
2020-03-20,-19.171247523063514
2020-03-21,-19.171247523063514
2020-03-22,-19.171247523063514
2020-03-23,-8.051767463549186
2020-03-24,-0.8568097779810913
2020-03-25,6.992234969911372
2020-03-26,-4.781332151927325
2020-03-27,-6.7435933389004425
2020-03-28,-8.051767463549186
2020-03-29,-7.3976804012248145
2020-03-30,-10.014028650522302
2020-03-31,-3.473158027278581
2020-04-01,-8.705854525873558
2020-04-02,-6.7435933389004425
2020-04-03,-7.3976804012248145
2020-04-04,-9.35994158819793
2020-04-05,-9.35994158819793
2020-04-06,-6.7435933389004425
2020-04-07,33.87623832466612
2020-04-08,8.30040909456012
2020-04-09,33.671573905517306
2020-04-10,-4.781332151927325
2020-04-11,-4.127245089602953
2020-04-12,-19.171247523063514
2020-04-13,-10.668115712846674
2020-04-14,-5.435419214251697
2020-04-15,-1.5108968403054632
2020-04-16,33.159912857645296
2020-04-17,34.837322015713696
2020-04-18,-2.819070964954207
2020-04-19,-8.705854525873558
2020-04-20,-5.435419214251697
2020-04-21,-6.7435933389004425
2020-04-22,-0.2027227156567193
2020-04-23,-0.8568097779810913
2020-04-24,-5.435419214251697
2020-04-25,-6.7435933389004425
2020-04-26,-19.171247523063514
2020-04-27,21.938100588556566
2020-04-28,22.48985544130653
2020-04-29,-4.127245089602953
2020-04-30,59.90149019794768
2020-05-01,-1.5108968403054632
2020-05-02,-4.781332151927325
2020-05-03,-19.171247523063514
2020-05-04,3.0677125959651406
2020-05-05,-4.127245089602953
2020-05-06,-7.3976804012248145
2020-05-07,-4.781332151927325
2020-05-08,-7.3976804012248145
2020-05-09,-19.171247523063514
2020-05-10,-19.171247523063514
2020-05-11,-5.435419214251697
2020-05-12,0.4513643466676527
2020-05-13,21.795674574104204
2020-05-14,3.7217996582895125
2020-05-15,-9.35994158819793
2020-05-16,-19.171247523063514
2020-05-17,-19.171247523063514
2020-05-18,-8.051767463549186
2020-05-19,-4.781332151927325
2020-05-20,-1.5108968403054632
2020-05-21,-6.7435933389004425
2020-05-22,32.87506082874058
2020-05-23,-5.435419214251697
2020-05-24,-19.171247523063514
2020-05-25,0.4513643466676527
2020-05-26,30.60580301304425
2020-05-27,-6.7435933389004425
2020-05-28,-2.819070964954207
2020-05-29,-2.164983902629835
2020-05-30,-19.171247523063514
2020-05-31,1.1054514089920247
2020-06-01,-8.705854525873558
2020-06-02,3.0677125959651406
2020-06-03,-6.089506276576071
2020-06-04,-2.164983902629835
2020-06-05,-10.668115712846674
2020-06-06,-8.705854525873558
2020-06-07,-6.089506276576071
2020-06-08,46.89993656121614
2020-06-09,-2.164983902629835
2020-06-10,1.1054514089920247
2020-06-11,-0.2027227156567193
2020-06-12,-2.164983902629835
2020-06-13,-7.3976804012248145
2020-06-14,-19.171247523063514
2020-06-15,-2.164983902629835
2020-06-16,3.7217996582895125
2020-06-17,-6.7435933389004425
2020-06-18,-0.2027227156567193
2020-06-19,-19.171247523063514
2020-06-20,-8.051767463549186
2020-06-21,-19.171247523063514
