Date,vol
2014-01-31,0.014007770726510034
2014-02-03,0.0150086940638286
2014-02-04,0.014662823550400505
2014-02-05,0.014471720045958312
2014-02-06,0.01502974164474987
2014-02-07,0.015687612945172846
2014-02-10,0.015814185618313496
2014-02-11,0.01582224682648338
2014-02-12,0.01584725373522847
2014-02-13,0.015587836945112503
2014-02-14,0.015490674389744103
2014-02-18,0.015415459855772954
2014-02-19,0.015447102716744333
2014-02-20,0.015438333966152136
2014-02-21,0.015510468474756968
2014-02-24,0.016332260964213252
2014-02-25,0.015873367610419103
2014-02-26,0.012620664167601502
2014-02-27,0.01289898852908189
2014-02-28,0.012372738549130992
2014-03-03,0.01201022892286997
2014-03-04,0.013846358589644111
2014-03-05,0.013727094545533315
2014-03-06,0.012001416033287972
2014-03-07,0.012190128175168796
2014-03-10,0.01258852707747541
2014-03-11,0.012405583066426059
2014-03-12,0.011781015231141546
2014-03-13,0.012706741467003596
2014-03-14,0.013100484690379463
2014-03-17,0.013301531984506662
2014-03-18,0.013319628866864603
2014-03-19,0.013366985371033278
2014-03-20,0.01339326553911171
2014-03-21,0.013617323837050247
2014-03-24,0.013632912161519094
2014-03-25,0.013798072052378756
2014-03-26,0.012873859740561731
2014-03-27,0.01317046282676613
2014-03-28,0.013247302099599432
2014-03-31,0.012486033900640367
2014-04-01,0.012423714069917827
2014-04-02,0.012566053813955813
2014-04-03,0.010205068797078842
2014-04-04,0.010172033610538679
2014-04-07,0.009636072750145446
2014-04-08,0.009638267958153993
2014-04-09,0.010713584432995991
2014-04-10,0.012535946196857193
2014-04-11,0.012573737843545403
2014-04-14,0.012114611460141516
2014-04-15,0.01191419684046849
2014-04-16,0.012574662415016835
2014-04-17,0.012579995020586373
2014-04-21,0.012395868977299891
2014-04-22,0.013881128180844004
2014-04-23,0.013635771522468696
2014-04-24,0.013650723325957008
2014-04-25,0.014097357588338775
2014-04-28,0.01433110976454646
2014-04-29,0.01390087198229084
2014-04-30,0.013833514566574076
2014-05-01,0.013821603067750985
2014-05-02,0.013998566366753245
2014-05-05,0.013766306796889746
2014-05-06,0.013448261394904711
2014-05-07,0.013580562672357962
2014-05-08,0.013858986468722866
2014-05-09,0.013954146183951485
2014-05-12,0.014880793003766143
2014-05-13,0.013229952663449002
2014-05-14,0.013106816515034805
2014-05-15,0.013923494394340421
2014-05-16,0.014035459240900359
2014-05-19,0.013293762146620489
2014-05-20,0.013282023429258204
2014-05-21,0.014471910200532017
2014-05-22,0.01340548753835244
2014-05-23,0.013639259513301121
2014-05-27,0.013729376172310986
2014-05-28,0.01303016434647124
2014-05-29,0.012791660457850058
2014-05-30,0.012915084917601917
2014-06-02,0.012913159048388946
2014-06-03,0.01295238675182458
2014-06-04,0.012977122662812984
2014-06-05,0.013230703088418292
2014-06-06,0.013065103358651959
2014-06-09,0.012707628410333332
2014-06-10,0.011932445950326104
2014-06-11,0.011938314993281518
2014-06-12,0.010234155875766034
2014-06-13,0.010604898101911094
2014-06-16,0.010605087021934773
2014-06-17,0.009253824680971433
2014-06-18,0.008932915765078441
2014-06-19,0.00926693669286302
2014-06-20,0.008824527035448835
2014-06-23,0.007987637351292926
2014-06-24,0.008685481067438055
2014-06-25,0.008652996574264419
2014-06-26,0.008620992933029379
2014-06-27,0.008583285667097108
2014-06-30,0.008352631364678878
2014-07-01,0.008193219224253824
2014-07-02,0.008229429495022903
2014-07-03,0.008427343156180746
2014-07-07,0.009141917472228438
2014-07-08,0.01164221898548664
2014-07-09,0.011640190200978772
2014-07-10,0.012047269843776956
2014-07-11,0.012010849605388986
2014-07-14,0.0120187994044536
2014-07-15,0.01203615971472888
2014-07-16,0.011557272638446726
2014-07-17,0.01196364204213323
2014-07-18,0.012066156628474094
2014-07-21,0.011530833348663136
2014-07-22,0.011890541287397544
2014-07-23,0.011908021287403899
2014-07-24,0.011911306578556212
2014-07-25,0.01154915187246573
2014-07-28,0.011338674804347504
2014-07-29,0.011350391537538265
2014-07-30,0.01124714986291011
2014-07-31,0.012692419349882163
2014-08-01,0.01276390084606699
2014-08-04,0.01322989556946969
2014-08-05,0.012773051445372701
2014-08-06,0.012687284540931681
2014-08-07,0.010682341156517191
2014-08-08,0.010745855660743292
2014-08-11,0.010848874168601046
2014-08-12,0.010876663595453981
2014-08-13,0.01123947327550824
2014-08-14,0.011212967047514236
2014-08-15,0.011229216089059694
2014-08-18,0.010803834605316635
2014-08-19,0.010207534680885826
2014-08-20,0.010207673946703213
2014-08-21,0.009981943591804317
2014-08-22,0.009908719783483106
2014-08-25,0.01011246408360396
2014-08-26,0.010128026274237997
2014-08-27,0.010091760270994093
2014-08-28,0.010121766913108655
2014-08-29,0.010118943076786405
2014-09-02,0.007584894576868009
2014-09-03,0.007249926392364952
2014-09-04,0.006876444969761045
2014-09-05,0.006594495520504699
2014-09-08,0.0065181429043851625
2014-09-09,0.009599054218321315
2014-09-10,0.009591027872702529
2014-09-11,0.009050202141434293
2014-09-12,0.009049031044290388
2014-09-15,0.009737369128621144
2014-09-16,0.00973526981744325
2014-09-17,0.009699112175532728
2014-09-18,0.009316804760282713
2014-09-19,0.009382990205462129
2014-09-22,0.009487931734837085
2014-09-23,0.009505547846078212
2014-09-24,0.010049616264109844
2014-09-25,0.010279359495591478
2014-09-26,0.010669993947387149
2014-09-29,0.01109296898202888
2014-09-30,0.011041786140687172
2014-10-01,0.01199144187231246
2014-10-02,0.011954600301988229
2014-10-03,0.01218893990519823
2014-10-06,0.013019982022874197
2014-10-07,0.012765812573545893
2014-10-08,0.013258096895694696
