date,ICLN,NASDAQ:ICLN,ICLN Yahoo,FSLR,FIRST SOLAR INC,ED,CONSOLIDATED EDISON INC,ENPH,ENPHASE ENERGY INC,VWS,VESTAS WIND SYSTEMS,IBE,IBERDROLA SA
2014-01-15,0.0,-0.7253247770005891,1.239528101033876,-0.21606322998526448,-0.37873178419474723,-0.6059811128995639,-0.25819888960223353,-0.7214854142411549,0.0,1.394701510897793,-0.5822563422999565,-0.039977162190613175,0.18785386022986944
2014-01-16,0.0,1.5221579811742567,-0.5368656743331437,0.5098537627345832,-0.37873178419474723,0.05451971296812535,-0.25819888960223353,-0.7214854142411549,0.0,0.5635013711347366,1.567545766866993,0.5144445943986238,-0.8417297967992227
2014-01-17,0.0,-0.7351436648942323,-0.5368656743331437,0.5923193505614286,-0.2581988894346611,-0.8819170959104196,-0.25819888960223353,1.0140140915992322,0.0,-0.19652707433803598,0.8371501767181057,-0.12076147215574544,-0.8417297967992227
2014-01-18,0.0,-0.6327656041313658,-0.4378707998160695,-1.2073067804498188,-0.2581988894346611,-1.5760677194016777,-0.25819888960223353,-0.7516460263079137,0.0,-0.7234002817436799,-0.6779031215281339,-0.12076147215574544,0.8694382462687482
2014-01-19,0.0,-0.5516108524405877,-0.4378707998160695,-1.374236742891914,-0.2581988894346611,-1.4182715602589744,-0.25819888960223353,-0.7516460263079137,0.0,-1.1284738399129348,-0.6779031215281339,0.4082482879638632,-0.7725738709307096
2014-01-20,0.0,-0.5516108524405877,-0.4378707998160695,-1.3682708760409756,1.8283272714309569,-0.4738790979967491,2.1810112193121087,-0.7516460263079137,0.0,-0.6312554884807392,0.38127673355334085,0.9036961082817306,-0.7725738709307096
2014-01-21,0.0,-0.5516108524405877,-0.36318423483368095,0.07561075041042405,2.603568164967073,-1.1832159466199221,-0.3769649021033274,-0.7516460263079137,0.0,-0.5083585796976899,1.0826428539515294,-0.9180338006311115,-0.6987036098372503
2014-01-22,3.614784449091835,1.591370770330869,-0.36318423483368095,0.8238239471580261,-0.46231584237733075,-0.24247195683102635,-0.3769649021033274,1.6209638843074234,0.0,1.1250906921970145,0.34578508214822734,0.46056618329002025,-0.6987036098372503
2014-01-23,-0.25819888922084533,-0.6506156740579244,0.5519913370478379,-0.28377631892432315,-0.46231584237733075,0.7888106299688387,-0.2581988895717225,0.11302411708861562,0.0,0.4567199839611644,-0.7470794170510515,0.6324555270336756,0.7796112635427304
2014-01-24,-0.25819888922084533,-0.5655118841213058,-0.4259460711077804,0.049300664798399604,2.0104036374429324,1.4978617103266587,-0.2581988895717225,-0.8340576544891687,0.0,-0.4259086693055369,-0.7470794170510515,-0.15811388175841906,-0.6044742716894875
2014-01-25,2.6627988710586923,-0.5655118841213058,-0.35675303358209554,-0.7099890933321169,-0.5586720047255207,-1.0690827056614889,-0.2581988895717225,1.6260770737754204,0.0,-0.9078213289905408,-0.7470794170510515,-0.9486832905505137,-0.6044742716894875
2014-01-26,-0.37776731388721935,-0.4749898440027205,2.195907245203348,-0.5527136055186211,0.5805425282193237,-1.0690827056614889,-0.2581988895717225,-0.8319464098385874,0.0,-1.1762434966245792,-0.7470794170510515,-1.0892129985095906,-0.6044742716894875
2014-01-27,-0.37776731388721935,-0.3765330301566801,-0.461963195676785,0.28997765948387766,0.5666153794680441,0.971058858586382,-0.2581988895717225,0.12641888743065874,0.0,0.7467634343830407,1.3090063169725068,0.5384864266488675,0.11220499782996705
2014-01-28,2.305085660456931,-0.3765330301566801,-0.461963195676785,-0.692614217509818,0.36950560840811014,-0.971058858586382,1.2487157862830123,-0.7138816102764481,0.0,0.48170640119309766,0.407226958569779,0.6591530543616815,-0.6516635952139966
2014-01-29,-0.4781447035622737,2.083988628656697,-0.461963195676785,1.1217963107279711,-0.6862247013293474,2.3007956116793995,1.5729414633510401,-0.6154531307685421,0.0,0.7206828874867821,-0.8487466113972183,2.191690828234956,0.5789572342082383
2014-01-30,-0.4781447035622737,-0.4802942542607231,-0.360404096988579,0.14989599951206056,0.6692399686871167,0.6324555270336769,-0.45106409610801884,0.5876017529855763,0.0,-0.34128826746331953,1.4295981544104104,0.3567530308245198,-0.5343044442956707
2014-01-31,-0.4781447035622737,1.8364339363547517,2.645850909323662,1.1570796001236512,-0.7837152264888604,-0.8334108425963336,-0.45106409610801884,-0.7022557535681276,0.0,-0.37688281920651723,-0.8518095508607024,-1.2353647641151104,-0.5343044442956707
2014-02-01,-0.4781447035622737,1.250987542013775,-0.4534104595153347,-1.7817397553288385,2.045320463440371,-0.7637626099926402,1.8171881254722908,-0.6037624686810683,0.0,-0.5667107268343481,2.900011181407596,0.3930706067638988,2.0478422733885475
2014-02-02,-0.4781447035622737,-0.5767539966427145,-0.4534104595153347,-1.1803052103021383,-0.8553158301659735,-0.7637626099926402,-0.5508666406237629,-0.6037624686810683,0.0,-1.7168507687510721,-0.6917457863908029,-1.1771512431848075,-0.5283133220958841
2014-02-03,-0.4781447035622737,-0.5767539966427145,-0.4534104595153347,0.18249273379187142,-0.8553158301659735,-0.052088177662270675,0.48497927776807187,-0.6037624686810683,0.0,-0.05236854221650306,-0.6917457863908029,-0.3220305917671729,-0.5283133220958841
2014-02-04,-0.4781447035622737,-0.5767539966427145,-0.4534104595153347,-0.45713628021207836,-0.7626482043702533,0.6656359021587929,-0.5491457396878396,-0.6037624686810683,0.0,-0.6941774114356779,0.956172779052217,0.5673086241035893,-0.5283133220958841
