Date,NAV
11-06-2018,9.22
12-06-2018,9.25
13-06-2018,9.23
14-06-2018,9.21
15-06-2018,9.15
18-06-2018,9.14
19-06-2018,8.94
20-06-2018,8.96
21-06-2018,8.90
22-06-2018,8.95
25-06-2018,8.90
26-06-2018,8.82
27-06-2018,8.69
28-06-2018,8.67
29-06-2018,8.74
02-07-2018,8.74
03-07-2018,8.77
05-07-2018,8.78
06-07-2018,8.87
09-07-2018,8.97
10-07-2018,8.96
11-07-2018,8.88
12-07-2018,8.94
13-07-2018,8.90
16-07-2018,8.86
17-07-2018,8.84
18-07-2018,8.87
19-07-2018,8.88
20-07-2018,8.93
23-07-2018,8.94
24-07-2018,9.03
25-07-2018,9.13
26-07-2018,9.09
27-07-2018,9.10
30-07-2018,9.08
31-07-2018,9.10
01-08-2018,9.09
02-08-2018,9.03
03-08-2018,8.96
06-08-2018,8.92
07-08-2018,8.93
08-08-2018,8.93
09-08-2018,8.93
10-08-2018,8.79
13-08-2018,8.68
14-08-2018,8.52
15-08-2018,8.41
16-08-2018,8.46
17-08-2018,8.52
20-08-2018,8.65
21-08-2018,8.74
22-08-2018,8.73
23-08-2018,8.63
24-08-2018,8.69
27-08-2018,8.76
28-08-2018,8.74
29-08-2018,8.76
30-08-2018,8.68
31-08-2018,8.71
04-09-2018,8.62
05-09-2018,8.55
06-09-2018,8.56
07-09-2018,8.51
10-09-2018,8.49
11-09-2018,8.51
12-09-2018,8.53
13-09-2018,8.49
14-09-2018,8.51
17-09-2018,8.50
18-09-2018,8.60
19-09-2018,8.63
20-09-2018,8.69
21-09-2018,8.77
24-09-2018,8.69
25-09-2018,8.64
26-09-2018,8.61
27-09-2018,8.58
28-09-2018,8.59
01-10-2018,8.55
02-10-2018,8.63
03-10-2018,8.63
04-10-2018,8.49
05-10-2018,8.46
08-10-2018,8.48
09-10-2018,8.50
10-10-2018,8.33
11-10-2018,8.17
12-10-2018,8.30
15-10-2018,8.29
16-10-2018,8.43
17-10-2018,8.42
18-10-2018,8.35
19-10-2018,8.35
22-10-2018,8.36
23-10-2018,8.16
24-10-2018,8.05
25-10-2018,8.13
26-10-2018,8.06
29-10-2018,7.96
30-10-2018,8.02
31-10-2018,8.11
01-11-2018,8.33
02-11-2018,8.36
05-11-2018,8.45
06-11-2018,8.55
07-11-2018,8.80
08-11-2018,8.76
09-11-2018,8.68
12-11-2018,8.68
13-11-2018,8.63
14-11-2018,8.62
15-11-2018,8.66
16-11-2018,8.73
19-11-2018,8.69
20-11-2018,8.54
21-11-2018,8.66
23-11-2018,8.64
26-11-2018,8.71
27-11-2018,8.81
28-11-2018,8.97
29-11-2018,9.00
30-11-2018,8.94
03-12-2018,9.06
04-12-2018,8.98
06-12-2018,8.85
07-12-2018,8.76
10-12-2018,8.68
11-12-2018,8.70
12-12-2018,8.80
13-12-2018,8.86
14-12-2018,8.77
17-12-2018,8.60
18-12-2018,8.41
19-12-2018,8.36
20-12-2018,8.26
21-12-2018,8.12
24-12-2018,8.03
26-12-2018,8.22
27-12-2018,8.19
28-12-2018,8.23
31-12-2018,8.27
02-01-2019,8.32
03-01-2019,8.22
04-01-2019,8.46
07-01-2019,8.50
08-01-2019,8.60
09-01-2019,8.71
10-01-2019,8.82
