date,PBD ETF,Invesco Global Clean Energy ETF,PBD Price,TSX: NFI,NFI Group Inc,NYSE: JKS,JinkoSolar
2014-01-15,2.6582468791084075,-0.34162302403225114,-0.2581988892926157,-0.37690143639427864,-0.4277142138511732,-0.6560382443819442,1.5025114141230285
2014-01-16,-0.3778218914468803,-0.34162302403225114,2.3246882265663715,2.9144257114636396,-0.4277142138511732,-0.6560382443819442,1.2078608273064493
2014-01-17,-0.3778218914468803,-0.34162302403225114,-0.3784376182782465,-0.35112344117743277,-0.4277142138511732,-0.5584632374097969,0.49503132671574607
2014-01-18,-0.3778218914468803,-0.34162302403225114,-0.2581988892471611,-0.35112344117743277,-0.4277142138511732,-0.5584632374097969,-0.3451495980390645
2014-01-19,1.086961574140913,-0.34162302403225114,-0.2581988892471611,-0.35112344117743277,1.4021298493884629,0.6547274042812149,-1.6157771499694036
2014-01-20,-0.46584067463181994,-0.25819888897793053,-0.2581988892471611,-0.25819888942458047,-0.37099912211613256,-0.5551976085762508,0.30601535064653884
2014-01-21,-0.46584067463181994,-0.25819888897793053,1.9272126682995052,0.8826355284436764,-0.2581988893471611,-0.456981993698035,-0.2615840158554422
2014-01-22,-0.46584067463181994,-0.25819888897793053,-0.3723024472851316,-0.3320005198733095,-0.2581988893471611,-0.456981993698035,-0.027391019543041076
2014-01-23,1.2704944971949732,-0.25819888897793053,-0.3723024472851316,1.7880544373758167,-0.2581988893471611,-0.35112344117743277,-0.833124285543423
2014-01-24,-0.5619494891439305,1.730689127656905,2.315958989424474,-0.4381793482897258,-0.2581988893471611,-0.35112344117743277,-0.724696875487919
2014-01-25,-0.5619494891439305,1.8100784661992138,-0.4733346839699656,-0.4381793482897258,-0.2581988893471611,-0.2581988890328754,-0.28280088088785454
2014-01-26,-0.5619494891439305,2.9126732235123374,-0.4733346839699656,-0.4381793482897258,-0.2581988893471611,-0.2581988890328754,-0.021789157496341475
2014-01-27,-0.5619494891439305,-0.4481035728480519,-0.4733346839699656,-0.4381793482897258,-0.2581988893471611,-0.2581988890328754,1.9133440648558475
2014-01-28,-0.46277347712938705,-0.4481035728480519,-0.4733346839699656,-0.4381793482897258,3.1309228877775976,-0.2581988890328754,1.3354789068780868
2014-01-29,-0.46277347712938705,0.7603336149029111,-0.4733346839699656,-0.4381793482897258,-0.3622555407345981,-0.2581988890328754,0.039801839435267924
2014-01-30,2.494561919803958,-0.5273281522713739,-0.4733346839699656,-0.4381793482897258,-0.3622555407345981,-0.2581988890328754,-1.6110435955995563
2014-01-31,-0.4715330458166018,-0.5273281522713739,-0.368577069534333,-0.35408343806206627,-0.3622555407345981,-0.2581988890328754,-0.1711716448905884
2014-02-01,-0.4715330458166018,-0.5273281522713739,1.498537296425447,2.6766510533661334,-0.3622555407345981,-0.2581988890328754,-1.3694858921011548
2014-02-02,-0.4715330458166018,-0.5273281522713739,1.4961293513767653,-0.44739412419376295,2.919582227455851,-0.2581988890328754,-0.21758818085652915
2014-02-03,2.436076036627741,-0.5273281522713739,-0.5674973401773937,0.832116420975251,-0.3671921741602384,0.0,0.2544109254632172
2014-02-04,-0.4726714697934423,-0.5273281522713739,-0.5674973401773937,-0.5295286315297052,-0.3671921741602384,0.0,0.7046868115646884
2014-02-05,-0.4726714697934423,-0.5273281522713739,-0.47183680315648474,-0.45669038475886276,-0.3671921741602384,0.0,-0.050692705226681026
2014-02-06,-0.4726714697934423,-0.5273281522713739,-0.47183680315648474,-0.45669038475886276,-0.3671921741602384,0.0,-0.10653684458782754
2014-02-07,-0.37661430161159937,2.933495572069508,-0.47183680315648474,-0.3502202516368938,-0.3671921741602384,0.0,0.0
2014-02-08,-0.37661430161159937,-0.4829114389617439,-0.37796447229494157,-0.3502202516368938,-0.3671921741602384,0.0,-0.5553613028145009
2014-02-09,-0.37661430161159937,0.5982335736391751,-0.37796447229494157,-0.3502202516368938,-0.3671921741602384,0.0,0.33209246663852
2014-02-10,-0.37661430161159937,-0.384041720623122,1.3002379614824133,-0.3502202516368938,-0.3671921741602384,0.0,-0.9703812954075824
2014-02-11,-0.37661430161159937,-0.384041720623122,-0.47281380417542296,-0.3502202516368938,-0.3671921741602384,0.0,0.8241917194338954
2014-02-12,-0.37661430161159937,-0.384041720623122,-0.47281380417542296,-0.3502202516368938,-0.25819888961017473,0.0,-1.615299276943781
2014-02-13,2.350851377127697,-0.33024536775310614,-0.47281380417542296,-0.3502202516368938,-0.25819888961017473,0.0,0.8845686516596896
2014-02-14,-0.3773363631606649,-0.33024536775310614,-0.47281380417542296,0.6479707229099991,-0.25819888961017473,0.0,0.3987955490899194
2014-02-15,-0.3773363631606649,-0.33024536775310614,-0.47281380417542296,-0.41718662981876653,-0.25819888961017473,0.0,-1.622995557080712
2014-02-16,-0.3773363631606649,-0.33024536775310614,2.7951758636885526,-0.37047928578806244,-0.25819888961017473,0.0,-0.5146828648441153
2014-02-17,-0.3773363631606649,-0.33024536775310614,-0.34654723099089696,-0.37047928578806244,3.6147844520852557,0.0,-0.6796361171318013
2014-02-18,-0.2581988892208453,-0.33024536775310614,-0.34654723099089696,-0.25819888849716116,1.8995479922251746,3.6147844424602567,-1.528676432840286
2014-02-19,-0.2581988892208453,-0.33024536775310614,-0.34654723099089696,-0.25819888849716116,-0.3716506941310125,-0.2581988887471612,-1.3385536946464816
2014-02-20,-0.2581988892208453,-0.33024536775310614,-0.34654723099089696,-0.25819888849716116,-0.3716506941310125,-0.2581988887471612,0.4949820513371258
