Date,log_ovx,log_return,log_volume,ovx_vol,log_navR,Garchvol,MAvol,GT Sent,INV Sent,d1-inv,d2-gt,GT_VAL_SENT,INV_VAL_SENT,GT_VAL_SENT_GVOL,INV_VAL_SENT_GVOL,GT_VAL_SENT_MVOL,INV_VAL_SENT_MVOL
2014-02-03,0.06192454255989462,-0.04246691453460451,12.752747922189862,0.0424254394727361,-0.041445408175392294,0.0020704046501377,0.0208939868884668,42.683301491258206,-9.826803146029974,0,1,-0.03980526796295662,-5.462728322966299e-06,0.0002474160237149999,3.3954463553955206e-08,0.0022810100341276,3.13037413288993e-07
2014-02-04,-0.008348889134428689,0.008307940566086025,10.988676820872097,0.0448389462328818,0.009420961892705975,0.0019434611289537,0.0208183972779218,6.624968831068381,-26.15324871402648,0,1,1.1109993164893224e-17,4.122526330628564e-09,-2.7776379664400775e-20,-1.030683411200177e-11,-1.653968396023014e-20,-6.137292941077968e-12
2014-02-05,-0.038941245907028424,-0.013885255792605243,11.265745335827777,0.0435339523204945,-0.011650617219975139,0.0017977559920984,0.0209354637064372,-1.6667447105943056,-17.59143589661274,0,0,-5.559882392332691e-06,-0.022188952228150413,-3.65023321463542e-08,-0.00014567727283736886,2.932770765041904e-08,0.00011704404123974319
2014-02-06,-0.04963798109177147,0.012229224454825247,10.797532675462964,0.0432367131487095,0.009994530724995588,0.0018665679779858,0.0210193158279492,9.935618628061798,-25.674090004795307,0,1,0.026114241447035842,8.0629728421944e-06,6.881135664533841e-05,2.124603546272616e-08,8.385135473741743e-05,2.588975051793996e-08
2014-02-07,-0.03206060445860604,0.027787186116929145,11.3290026268093,0.0438299596075945,0.025635437092834265,0.0019964537493524,0.0214697726484799,-13.526451310154473,-26.93888807648371,0,0,1.005785079570073e-12,0.0034250702742818916,8.396805039517635e-15,2.8594227458698897e-05,2.9120958061230075e-14,9.916763515398698e-05
2014-02-10,0.00785133559862809,0.014403983362542396,11.850825253582627,0.0434426633050491,0.014434893783602484,0.0020583324036578,0.0215786763366594,26.5953310892778,-11.952094320494492,0,1,-0.01338320275438675,-0.013383198606010937,6.187865430539981e-05,6.187863512494521e-05,0.00010890368817949997,0.00010890365442275024
2014-02-11,-0.006801020376021871,-0.003182973594017982,11.985425974414552,0.0422733328951962,-0.0026574557228431074,0.0018028886326388,0.0215679430114443,20.20789887359755,4.184921333894839,1,1,-2.9541600351882347e-05,-0.017586955230826578,-4.290803584986379e-07,-0.00025544374595338164,-1.8029247739359186e-08,-1.0733324161884393e-05
2014-02-12,0.009404510521418191,0.005827831063997828,11.304670526149769,0.0413291155650477,0.004778347291980681,0.0017153415822347,0.0215866940460661,-7.388278849789961,5.074838527887631,1,0,9.33030558610273e-15,0.006387516887406862,-9.065125307156103e-17,-6.205974761658935e-05,1.9415900101812344e-17,1.3292103740873706e-05
2014-02-13,-0.012032580434247972,0.01780151720504355,12.406152257245832,0.0405722026641365,0.01888828452020586,0.0016830620624871,0.0203767555562566,-16.84594132545475,0.9457255223613821,1,0,9.349391218896158e-07,0.00018968877990677098,-2.5204757743218913e-09,-5.113765840169231e-07,-9.447540347037574e-08,-1.916801168751535e-05
2014-02-14,-0.05684880852184775,-0.0015580371887146424,11.157678073022682,0.0400292509567887,-0.0020811662038245117,0.0015453052328615,0.0186170550227431,-3.3562664767785084,13.211078659340652,1,0,-0.01935952757717723,-0.019359463167864986,-0.0001377566388067879,-0.00013775618048928365,-0.0017596980960012068,-0.0017596922414707349
2014-02-18,0.026389601037139165,0.02616204610957062,11.379394072345706,0.0427695121829612,0.0272300410007881,0.0013816441454918,0.0191434932384778,8.517598720369946,4.784193300290904,1,1,0.027719890084828773,6.0666600876591115e-06,-0.00016365994662549487,-3.58179366189014e-08,0.0005264345463753349,1.1521327976001252e-07
2014-02-19,-0.004350197181152579,-0.015306369868795092,11.669929213779893,0.0421523216121475,-0.01635192285360513,0.0012867201037134,0.0192256376141889,17.967472455021433,15.608547869534576,1,1,-0.04146515269151246,-0.04146759041323648,-9.491657189149255e-05,-9.492215200332746e-05,8.21379114983977e-05,8.214274035728835e-05
2014-02-20,-0.042299015751112536,0.020860587491156914,11.90226119114851,0.0412110578855464,0.021407545350785706,0.0012496407141413,0.0194994969228491,-12.353395498309744,25.288019215028083,1,0,2.4554230899907772e-15,0.03616469509318977,-2.5173693327853246e-18,-3.7077070232108064e-05,1.859267461182024e-17,0.0002738421785818977
2014-02-21,0.01747015409724236,-0.00808902246412974,12.240474072247506,0.0423996510159162,-0.00962763960538465,0.0011741270342723,0.0195889810838325,-4.961182313777513,26.994063027672457,1,0,-0.028931787076020933,-0.024500704655219665,-7.546718973661845e-05,-6.390892211524638e-05,8.942906989927363e-05,7.573245383825915e-05
2014-02-24,0.014420660326437964,0.019603492321480235,11.814510442591,0.0416045511895782,0.019662846751407066,0.0013418137920473,0.0197506561018907,41.3611469587606,29.05503306456104,1,1,0.027692514785609974,0.024564683888266645,0.0001676867577750001,0.00014874677250806005,0.00016167501805820078,0.00014341405040228545
2014-02-25,0.016926366896148223,0.015802797994910377,12.474954088518237,0.0410180067441606,0.01683208056098752,0.0012559732662726,0.0193967554394928,26.50339168139108,29.933644952498902,1,1,-1.3403606177654683e-09,-0.0026853216185854915,-3.027269500531741e-11,-6.0649291894405715e-05,-1.2480732985105946e-10,-0.00025004302317215894
