Date,vol,Returns
2014-01-17,0.0012678466775724,-0.0119761910467157
2014-01-21,0.001173931489512,0.0057456933794117
2014-01-22,0.0011054115611898,0.0155041344526332
2014-01-23,0.0010660881521412,-0.0196795056451921
2014-01-24,0.001049792536877,-0.0378409646795225
2014-01-27,0.0010535965539742,-0.0065394781675279
2014-01-28,0.0011995934243434,0.0243057597328175
2014-01-29,0.0011236725951873,-0.0123491502248698
2014-01-30,0.0010811948648111,0.0160774635643203
2014-01-31,0.0018229886264227,-0.0026616465716478
2014-02-03,0.0020704046501377,-0.0424669145346045
2014-02-04,0.0019434611289537,0.008307940566086
2014-02-05,0.0017977559920984,-0.0138852557926052
2014-02-06,0.0018665679779858,0.0122292244548252
2014-02-07,0.0019964537493524,0.0277871861169291
2014-02-10,0.0020583324036578,0.0144039833625423
2014-02-11,0.0018028886326388,-0.0031829735940179
2014-02-12,0.0017153415822347,0.0058278310639978
2014-02-13,0.0016830620624871,0.0178015172050435
2014-02-14,0.0015453052328615,-0.0015580371887146
2014-02-18,0.0013816441454918,0.0261620461095706
2014-02-19,0.0012867201037134,-0.015306369868795
2014-02-20,0.0012496407141413,0.0208605874911569
2014-02-21,0.0011741270342723,-0.0080890224641297
2014-02-24,0.0013418137920473,0.0196034923214802
2014-02-25,0.0012559732662726,0.0158027979949103
2014-02-26,0.0013292494172481,0.0141087717587475
2014-02-27,0.0012361165418512,0.0091367791181781
2014-02-28,0.0011664720535378,-0.0101034780584507
2014-03-03,0.0011416414512867,-0.0072797699001814
2014-03-04,0.0010914989645325,0.037289119444152
2014-03-05,0.0010472255831914,-0.0042323131237164
2014-03-06,0.0010513132914997,0.0042323131237164
2014-03-07,0.0010323180049359,-0.0042323131237164
2014-03-10,0.0011538074230382,-0.012328274317566
2014-03-11,0.0013238193317499,-0.0153849195791682
2014-03-12,0.0012172157310679,0.0110818768410281
2014-03-13,0.0011363221835996,-0.0183758067539682
2014-03-14,0.0010800462583637,-0.0024431479916268
2014-03-17,0.0010454407232134,0.0111895594344955
2014-03-18,0.0010682471918386,0.0229565317986099
2014-03-19,0.0010790838249543,0.0070671202747345
2014-03-20,0.0010681205835322,0.0032810903586054
2014-03-21,0.0012496385244702,-0.0122412068944845
2014-03-24,0.0014866366203684,-0.0186475401024094
2014-03-25,0.001633467164182,0.0038535695016151
2014-03-26,0.0015892404818599,-0.0402211654099405
2014-03-27,0.0015569700512934,-0.0075358306887029
2014-03-28,0.0014903265383226,0.0090362060639375
2014-03-31,0.0014404402466949,0.0148811777598208
2014-04-01,0.001391856826866,0.0262406218893474
2014-04-02,0.0012768578231966,0.0076445666120985
2014-04-03,0.0012246228038107,-0.0158314652166807
2014-04-04,0.0011898623109804,-0.0304393169568887
2014-04-07,0.0011165523928262,-0.0324242698201606
2014-04-08,0.0018676131085152,0.0254207892932733
2014-04-09,0.0019534198983266,0.0174177083074564
2014-04-10,0.0017556687085279,-0.0418091099912877
2014-04-11,0.0015443644861103,-0.0244741192405121
2014-04-14,0.0023825002086764,0.0031580026245554
2014-04-15,0.0027316693610775,0.0010503152226062
2014-04-16,0.0023020707227112,0.0130379950180968
2014-04-17,0.0022228677964938,0.0056833530835518
2014-04-21,0.0021482385829311,0.0138144944431885
2014-04-22,0.0019115444969741,0.0270692725122326
2014-04-23,0.0016838211118951,-0.016958013209724
2014-04-24,0.0014892909253954,0.0010055808038307
2014-04-25,0.0013451497101833,-0.0290614385102071
2014-04-28,0.001234257585517,-0.0299313496421607
2014-04-29,0.0016538044670816,0.0042553255701382
2014-04-30,0.0016504708584188,0.0010610610793624
2014-05-01,0.0015618401909084,0.0
2014-05-02,0.0014458231771499,-0.0010610610793624
2014-05-05,0.0013252104491272,0.0005306447458029
2014-05-06,0.0012207769005423,-0.0203651738247243
2014-05-07,0.0014125280089737,-0.0224482474514432
2014-05-08,0.0012815619122825,-0.0184413725317357
2014-05-09,0.0017769650850603,-0.0005642313425916
2014-05-12,0.0015541103954233,0.0239766719673349
2014-05-13,0.0013928719744129,0.0016515280384731
2014-05-14,0.0022057368976796,-0.0188789615974694
2014-05-15,0.0024873014469468,-0.0152502249528575
2014-05-16,0.0023572911970154,-0.0005693709396449
2014-05-19,0.0023121179396888,0.0113252063046631
2014-05-20,0.0021838301984983,-0.0141765912662635
2014-05-21,0.0018693638506069,0.0186709808541027
2014-05-22,0.0018453340345928,0.0128099774522739
2014-05-23,0.0016257117211833,0.0131941994673163
2014-05-27,0.0015027489288801,0.0114039251465799
2014-05-28,0.0013787170361336,0.008066728335598
2014-05-29,0.0014511740767445,0.0138300076676001
2014-05-30,0.0016035230468012,-0.0132945324205349
2014-06-02,0.0016266846461564,-0.0075228187255563
2014-06-03,0.0015195946716372,-0.0064935832479793
2014-06-04,0.0013669296696214,0.0075716426515818
2014-06-05,0.0012479054094012,0.0117838535495089
2014-06-06,0.0011925432409379,-0.0026660105722545
2014-06-09,0.0011329424161894,0.0058557526922197
2014-06-10,0.0010762707133361,-0.0037224185497996
2014-06-11,0.0010632833007811,0.0047834796291619
2014-06-12,0.0010405779545125,-0.0010610610793624
2014-06-13,0.0010714415528165,0.014229541432587
2014-06-16,0.0011319929918653,0.0232748029011216
2014-06-17,0.0012139336142099,0.0336800376977284
2014-06-18,0.0013422315369074,0.004438971530627
2014-06-19,0.0013330027342383,-0.0069136077848182
2014-06-20,0.001306042235598,0.0044499455384458
2014-06-23,0.0012225667739417,0.0049213188666062
2014-06-24,0.0011609168972133,-0.0218371451058114
2014-06-25,0.001133541510418,0.0134565196874049
