date,QCLN,NASDAQ: QCLN,QCLN Price,"Tesla, Inc.",TSLA,"First Solar, Inc.",FSLR,Rivian Automotive,RIVN,ON Semiconductor Corporation,NASDAQ: ON,Albemarle Corporation,NASDAQ: ALB
2014-01-15,-0.36114332001651966,-0.25819888959564596,0.0,-0.45632665843132614,2.475523662896078,-0.344209439078568,0.0068017768492629254,-0.25819888774716115,-0.45850513794754677,-0.47770002366121667,0.12549873243414114,-0.7528747254927045,-0.3783587542800724
2014-01-16,-0.36114332001651966,-0.25819888959564596,0.0,0.8722039516060054,1.1344436653799723,-0.344209439078568,-0.6255071170316892,-0.25819888774716115,-0.45850513794754677,-0.47770002366121667,0.8908780115543499,-0.712826774015586,-0.3783587542800724
2014-01-17,1.9741766945293098,-0.25819888959564596,0.0,-0.4274376981380424,1.006906839259926,-0.344209439078568,1.7417271427569627,3.0272820719674507,-0.45850513794754677,-0.3738616841048856,-0.5767539966427147,-0.6168356565139641,-0.25819888950325864
2014-01-18,-0.3699532940715023,-0.25819888959564596,0.0,-0.3771384584058456,-0.9324377521914455,-0.344209439078568,-0.8005630593390903,-0.3678006255661389,-0.45850513794754677,-0.3738616841048856,-1.1906442559402262,0.7053668287321146,-0.25819888950325864
2014-01-19,0.9933040106632187,-0.25819888959564596,0.0,2.46306042225482,-0.9324377521914455,-0.344209439078568,-1.604910813779123,2.0094586641826733,-0.45850513794754677,-0.3738616841048856,0.09395240457686325,-0.7082225648808278,0.0
2014-01-20,-0.4540818334460428,1.4270121352540015,3.6147844520852557,-0.37893237265458773,-0.5358675293680045,-0.344209439078568,-1.092894243547465,-0.4728138033370995,-0.45850513794754677,-0.3738616841048856,-1.079473135346917,-0.7082225648808278,0.0
2014-01-21,-0.4540818334460428,1.6624432628930228,-0.2581988894346611,-0.37893237265458773,0.5022118556712982,-0.2581988894971611,0.6017435341676757,-0.4728138033370995,-0.37454812540821686,1.9134058229750885,1.0898449552157634,-0.7082225648808278,0.0
2014-01-22,3.203130263261043,-0.4598247322895595,-0.2581988894346611,-0.37893237265458773,0.3032774126002834,-0.2581988894971611,0.42300783094955424,3.026066520839454,-0.37454812540821686,-0.3774232769869703,1.1560887251945817,0.4350311686670955,0.0
2014-01-23,-0.45607483880869154,-0.4598247322895595,-0.2581988894346611,-0.37893237265458773,0.41598050814961457,1.3557888995140288,0.07761169323931623,-0.4956488266892209,-0.37454812540821686,2.627730735252028,1.3956232382825058,-0.7165219248634516,0.0
2014-01-24,-0.45607483880869154,-0.4598247322895595,2.506441160111145,-0.37893237265458773,0.2287097881558541,-0.2581988892208451,0.8289769030411498,1.1034536955906706,-0.25819888927097073,-0.46691083312329423,-0.14455582413555423,-0.6192736326276191,0.0
2014-01-25,-0.45607483880869154,-0.4598247322895595,2.4418116482267878,-0.37893237265458773,-1.0652926740848816,2.820507336671301,-0.9607838390576503,-0.5893445874177444,-0.25819888927097073,-0.3714728880493472,1.0510488866479761,-0.6192736326276191,0.0
2014-01-26,-0.45607483880869154,-0.4598247322895595,-0.4753969580618525,-0.37893237265458773,-1.0652926740848816,1.5100918468188247,-1.2993288987290659,-0.5893445874177444,1.852396431146195,-0.3714728880493472,1.451454232816359,-0.5536891315570472,0.0
2014-01-27,0.1388911904293793,-0.3745481255643798,-0.4753969580618525,-0.37893237265458773,-0.10566112949793859,2.2756113391016766,0.6150724308294777,0.35109890314248604,2.856085679000302,1.691466577020846,0.7298842987637941,-0.4777433606854065,0.0
2014-01-28,-0.5021450730908329,-0.3745481255643798,-0.4753969580618525,-0.37893237265458773,0.021277799785072663,-0.5612767914138184,-0.37003205761660685,0.4663148199635265,-0.3740112198690872,-0.4744357472131641,0.43337192129330643,1.6334094041191893,3.6147844544602554
2014-01-29,-0.4363722671744054,-0.3745481255643798,-0.4753969580618525,1.000776375157314,-0.04559269004584612,-0.5612767914138184,-0.1354391224426912,-0.6679644718396459,-0.3740112198690872,-0.4744357472131641,-1.2967198169432972,-0.47875792879355555,-0.258198889604304
2014-01-30,-0.4363722671744054,-0.3745481255643798,-0.4753969580618525,-0.4637744177558284,0.3270493748555413,-0.5612767914138184,0.49597074950419984,-0.6679644718396459,-0.3740112198690872,-0.4744357472131641,-0.15124249198242676,1.1958473725606507,-0.258198889604304
2014-01-31,-0.4363722671744054,-0.3745481255643798,-0.4753969580618525,-0.3601735623439232,0.6371162828841014,2.6598142959927875,1.2291855114571133,-0.6679644718396459,-0.3740112198690872,-0.4744357472131641,0.7693600439460663,3.140044720173464,-0.258198889604304
2014-02-01,2.1091904557232444,-0.3745481255643798,-0.4753969580618525,-0.3601735623439232,-1.05917623615462,-0.6022221047530839,-0.5849512575726812,0.500635188790332,-0.3740112198690872,-0.4744357472131641,-1.3755963764180064,-0.5327582301579656,-0.258198889604304
2014-02-02,-0.4560411796158366,-0.3745481255643798,-0.4753969580618525,-0.3601735623439232,-1.4888474254418216,-0.6022221047530839,-1.3364407842359938,1.1059771805004033,-0.3740112198690872,-0.4744357472131641,-2.0553439845558215,-0.45166145845113087,-0.258198889604304
2014-02-03,-0.41477134607401833,-0.3745481255643798,-0.4753969580618525,-0.2581988884971596,0.0668259658103477,0.0424108085937636,-0.013569293688185,0.025142106508485088,1.6520364522522353,-0.4744357472131641,-0.01874111261106744,-0.45166145845113087,0.6616650865866606
2014-02-04,0.34746520852531765,2.8978485822246114,-0.37386168464247244,-0.2581988884971596,0.4888941165275445,-0.6573675332033365,-0.47714892591519753,-0.7291210887460677,-0.4763540690543255,-0.4744357472131641,0.1726604464034483,0.430080495868138,-0.31992597593201166
