,Date,first_component
0,2014-01-02,21.616362686859254
1,2014-01-03,-2.63664294588398
2,2014-01-04,-26.84106070531465
3,2014-01-05,10.325702914027323
4,2014-01-06,30.88735915548483
5,2014-01-07,11.953020885398617
6,2014-01-08,-6.558115898610332
7,2014-01-09,9.805069723668284
8,2014-01-10,-7.0644790560101764
9,2014-01-11,-35.981924437634206
10,2014-01-12,-5.525893655694184
11,2014-01-13,47.637267098314425
12,2014-01-14,-0.5495158232552686
13,2014-01-15,-2.8481058754766178
14,2014-01-16,-1.4231297894850545
15,2014-01-17,-2.0419998554117016
16,2014-01-18,-41.5488786074093
17,2014-01-19,-0.6432409770067504
18,2014-01-20,24.404307379402802
19,2014-01-21,20.060397416952863
20,2014-01-22,-0.07551034884173638
21,2014-01-23,6.754063466658896
22,2014-01-24,-8.418236482982506
23,2014-01-25,-32.82024822575819
24,2014-01-26,3.460745731776817
25,2014-01-27,33.6735592483902
26,2014-01-28,-1.098665275902557
27,2014-01-29,-9.637692465185582
28,2014-01-30,13.980895263262717
29,2014-01-31,3.320157279314534
30,2014-02-01,-56.172988630455116
31,2014-02-02,-0.4692454665291572
32,2014-02-03,42.683301491258206
33,2014-02-04,6.624968831068381
34,2014-02-05,-1.6667447105943056
35,2014-02-06,9.935618628061798
36,2014-02-07,-13.526451310154473
37,2014-02-08,-42.246183570286256
38,2014-02-09,15.779246911677363
39,2014-02-10,26.5953310892778
40,2014-02-11,20.20789887359755
41,2014-02-12,-7.388278849789961
42,2014-02-13,-16.84594132545475
43,2014-02-14,-3.3562664767785084
44,2014-02-15,-32.263480582230585
45,2014-02-16,3.2341172006175367
46,2014-02-17,27.663131539557074
47,2014-02-18,8.517598720369946
48,2014-02-19,17.967472455021433
49,2014-02-20,-12.353395498309744
50,2014-02-21,-4.961182313777513
51,2014-02-22,-49.07160807648088
52,2014-02-23,11.184423454652114
53,2014-02-24,41.3611469587606
54,2014-02-25,26.50339168139108
55,2014-02-26,6.877064696251577
56,2014-02-27,-13.670212865511392
57,2014-02-28,-16.066570269455053
58,2014-03-01,-38.717336782216826
59,2014-03-02,-4.682618875789906
60,2014-03-03,42.674400712269154
61,2014-03-04,1.4721697675684142
62,2014-03-05,2.430502075146311
63,2014-03-06,1.8385633178838037
64,2014-03-07,-16.340311190790153
65,2014-03-08,-39.51852539123068
66,2014-03-09,16.62949011519143
67,2014-03-10,36.483873689626826
68,2014-03-11,-2.2263660047820917
69,2014-03-12,0.5140991664335041
70,2014-03-13,-7.825541372817502
71,2014-03-14,3.9038819161215925
72,2014-03-15,-47.81519035067917
73,2014-03-16,11.028971163495337
74,2014-03-17,37.45840997871279
75,2014-03-18,-1.5608394243227135
76,2014-03-19,27.20180338683826
77,2014-03-20,-14.74086033820505
78,2014-03-21,-9.230308645968513
79,2014-03-22,-43.652621546589344
80,2014-03-23,-1.1623015491788162
81,2014-03-24,52.87734060939058
82,2014-03-25,1.1821862665236502
83,2014-03-26,-2.121455717189006
84,2014-03-27,3.362483522494965
85,2014-03-28,-12.383547532126702
86,2014-03-29,-48.61894695520822
87,2014-03-30,0.33919040723591865
88,2014-03-31,51.202952894604245
89,2014-04-01,-2.421619952640159
90,2014-04-02,11.141695337635609
91,2014-04-03,-11.635690978816434
92,2014-04-04,0.2270417817914937
93,2014-04-05,-38.541070972261416
94,2014-04-06,-8.732275073025384
95,2014-04-07,58.51167557342353
96,2014-04-08,-13.050934243818395
97,2014-04-09,-0.8243020292560946
98,2014-04-10,2.421207230667466
99,2014-04-11,4.9253937320483585
100,2014-04-12,-52.25436229316336
101,2014-04-13,-1.9396711082713605
102,2014-04-14,50.31100047360812
103,2014-04-15,16.64155311311617
104,2014-04-16,-10.942895131830529
105,2014-04-17,-9.346224533714086
106,2014-04-18,-23.12236371121557
107,2014-04-19,-23.883201519619615
108,2014-04-20,-3.6171114031631384
109,2014-04-21,44.84726508393111
110,2014-04-22,10.31801745200341
111,2014-04-23,-10.286752012097653
112,2014-04-24,2.4967716871630397
113,2014-04-25,-10.13827294152446
114,2014-04-26,-35.77052333940772
115,2014-04-27,16.786734662325845
116,2014-04-28,30.14267601818309
117,2014-04-29,9.105633005140389
118,2014-04-30,-2.0240763100109675
119,2014-05-01,-4.4266781806686835
120,2014-05-02,-8.277201702911738
121,2014-05-03,-42.796888942048064
122,2014-05-04,-1.3960771622729211
123,2014-05-05,47.83662460400118
124,2014-05-06,10.953660772397471
125,2014-05-07,3.365601365953858
126,2014-05-08,-4.4752921115867474
127,2014-05-09,-11.296001491781928
128,2014-05-10,-38.67881600739518
129,2014-05-11,-0.38549150273744537
130,2014-05-12,65.25895934845522
131,2014-05-13,-10.236438780165717
132,2014-05-14,-9.137259780895782
133,2014-05-15,-2.1462137076272922
134,2014-05-16,-2.2332619141301664
135,2014-05-17,-40.91376282161165
136,2014-05-18,-0.13341886554278326
137,2014-05-19,39.8094988607563
138,2014-05-20,7.917422643147431
139,2014-05-21,-4.581706028765429
140,2014-05-22,5.732100873154665
141,2014-05-23,-20.192331838164293
142,2014-05-24,-38.319688618646104
143,2014-05-25,6.372220395800971
144,2014-05-26,19.200758177757933
145,2014-05-27,28.96491543322318
146,2014-05-28,-8.69806891130297
147,2014-05-29,-1.511917107546958
148,2014-05-30,0.8236173863077163
149,2014-05-31,-34.55455146533307
150,2014-06-01,0.6453019338389632
151,2014-06-02,40.16342203550953
152,2014-06-03,4.164019341587543
153,2014-06-04,-13.495731833448632
154,2014-06-05,-0.7368641517092773
155,2014-06-06,2.0694302645941245
