,date,first_component
0,2014-01-10,2.1742717945786634
1,2014-01-11,-3.903554341213479
2,2014-01-12,-2.9215206951040686
3,2014-01-13,1.8338479086784447
4,2014-01-14,1.9144013614851003
5,2014-01-15,1.043120682746964
6,2014-01-16,1.0609500163540586
7,2014-01-17,0.5676062441645409
8,2014-01-18,-4.1795398944031
9,2014-01-19,-3.6326341048671265
10,2014-01-20,0.2160343618182768
11,2014-01-21,0.9447015695051574
12,2014-01-22,2.438923289910881
13,2014-01-23,1.760333578467726
14,2014-01-24,1.3693378863606114
15,2014-01-25,-3.058520057788849
16,2014-01-26,-2.8112283105091684
17,2014-01-27,2.9750284694049447
18,2014-01-28,1.5720355923434928
19,2014-01-29,1.822231666705924
20,2014-01-30,1.1590801597470999
21,2014-01-31,-0.10554709432608639
22,2014-02-01,-3.668604478927288
23,2014-02-02,-3.856752630063389
24,2014-02-03,1.3591097447719283
25,2014-02-04,1.7432716731645805
26,2014-02-05,1.1015278817011516
27,2014-02-06,0.5053259646683246
28,2014-02-07,0.7195624069914066
29,2014-02-08,-2.9615606518193958
30,2014-02-09,-2.570388184040993
31,2014-02-10,1.971610718127594
32,2014-02-11,2.4921862449817334
33,2014-02-12,1.188396512768657
34,2014-02-13,-0.2579591814164215
35,2014-02-14,-0.33935830857638577
36,2014-02-15,-4.286538691977164
37,2014-02-16,-3.157356414521005
38,2014-02-17,0.574021331682454
39,2014-02-18,1.709556589549233
40,2014-02-19,1.7552479046028804
41,2014-02-20,0.7973507661468384
42,2014-02-21,1.1589462814128213
43,2014-02-22,-3.407227386178159
44,2014-02-23,-2.4714882674575738
45,2014-02-24,2.6370390816195446
46,2014-02-25,3.3575034082153126
47,2014-02-26,2.1019925236269863
48,2014-02-27,1.2835104161248134
49,2014-02-28,0.1075213458234241
50,2014-03-01,-3.754741255237081
51,2014-03-02,-2.6519168451843065
52,2014-03-03,1.965175426751467
53,2014-03-04,2.126025835428099
54,2014-03-05,1.0610585668342771
55,2014-03-06,0.7390833278539232
56,2014-03-07,-0.2694539999369893
57,2014-03-08,-3.5969855210530803
58,2014-03-09,-2.7303842007313737
59,2014-03-10,1.3743102553497157
60,2014-03-11,1.3106721426639263
61,2014-03-12,0.5925068715658925
62,2014-03-13,0.6400494175968859
63,2014-03-14,0.2485693884743974
64,2014-03-15,-4.06475786487
65,2014-03-16,-3.076922483596797
66,2014-03-17,1.2990071050904557
67,2014-03-18,1.6028100103959673
68,2014-03-19,2.3974374070119215
69,2014-03-20,1.4203788065025666
70,2014-03-21,0.5844320772982927
71,2014-03-22,-3.4801277379801006
72,2014-03-23,-2.1814321244329014
73,2014-03-24,2.0452095460768955
74,2014-03-25,1.6995440564622506
75,2014-03-26,1.8909927634079364
76,2014-03-27,1.415956328905579
77,2014-03-28,-0.5212697819739367
78,2014-03-29,-4.454262956404106
79,2014-03-30,-3.244997112236
80,2014-03-31,1.5501862022700226
81,2014-04-01,1.2380167748343056
82,2014-04-02,1.845685764613302
83,2014-04-03,0.9219183709841381
84,2014-04-04,1.0223641061254836
85,2014-04-05,-3.8449213778373115
86,2014-04-06,-2.710063281239725
87,2014-04-07,1.6033057566447488
88,2014-04-08,1.6818921051508697
89,2014-04-09,0.9914787218216407
90,2014-04-10,2.013552079093887
91,2014-04-11,1.7530180589990407
92,2014-04-12,-4.194266551957172
93,2014-04-13,-3.0100832318738915
94,2014-04-14,1.5502234203263445
95,2014-04-15,1.558366748531516
96,2014-04-16,0.6390567885598339
97,2014-04-17,0.5249257610350007
98,2014-04-18,-2.4504681693687536
99,2014-04-19,-4.37786289424182
100,2014-04-20,-2.6971875548419737
101,2014-04-21,0.9917174872157835
102,2014-04-22,2.1314173943775416
103,2014-04-23,1.7174063009523837
104,2014-04-24,1.3979012717160404
105,2014-04-25,0.6950763237857228
106,2014-04-26,-3.44723020103092
107,2014-04-27,-2.8449392463740852
108,2014-04-28,2.682580944932475
109,2014-04-29,2.259660605640577
110,2014-04-30,1.682439515011685
111,2014-05-01,0.5841382185748735
112,2014-05-02,0.6969281898181625
113,2014-05-03,-3.3726632419044935
114,2014-05-04,-3.008584812077271
115,2014-05-05,2.1258020501891193
116,2014-05-06,1.6365533286977458
117,2014-05-07,1.5360980469396084
118,2014-05-08,0.8372509949947585
119,2014-05-09,0.8997793810208373
120,2014-05-10,-3.6345215509264537
121,2014-05-11,-3.0851640079989155
122,2014-05-12,1.925570297821623
123,2014-05-13,1.537192586519018
124,2014-05-14,0.47962515407239775
125,2014-05-15,0.935989391721227
126,2014-05-16,-0.2223135040937896
127,2014-05-17,-3.669830873674173
128,2014-05-18,-2.4435131182850998
129,2014-05-19,1.9521262396917927
130,2014-05-20,1.1993784716466505
131,2014-05-21,0.959936651416395
132,2014-05-22,0.5689439631496227
133,2014-05-23,0.3387451288106317
134,2014-05-24,-3.962054475768911
135,2014-05-25,-3.099202950728412
136,2014-05-26,-0.4236340906687232
137,2014-05-27,1.7568092192289322
138,2014-05-28,1.381750614599023
139,2014-05-29,1.3518837626765834
140,2014-05-30,1.0440722570943537
141,2014-05-31,-3.0920032943843583
142,2014-06-01,-2.896734653021915
143,2014-06-02,2.233216384077664
144,2014-06-03,2.853596817365989
145,2014-06-04,1.4762392174487187
146,2014-06-05,0.7301432637729858
147,2014-06-06,0.3540082170236609
148,2014-06-07,-3.9357723932979094
149,2014-06-08,-2.906377755033597
150,2014-06-09,0.9290509634427292
151,2014-06-10,1.9002194413739226
152,2014-06-11,1.0961805006814183
153,2014-06-12,1.3554045301833992
154,2014-06-13,1.1173551519730651
