,date,first_component
0,2014-01-10,1.4842770311325852
1,2014-01-11,-3.290636998009608
2,2014-01-12,-2.954398080329373
3,2014-01-13,1.4946487456501076
4,2014-01-14,1.6225550571671419
5,2014-01-15,1.6441854668172242
6,2014-01-16,1.171269395444271
7,2014-01-17,0.4719638072561438
8,2014-01-18,-3.683914678696147
9,2014-01-19,-3.4674837632094833
10,2014-01-20,0.6911091627240925
11,2014-01-21,1.2106079731371762
12,2014-01-22,1.5505674557948785
13,2014-01-23,1.3977227367532439
14,2014-01-24,1.43460342250229
15,2014-01-25,-2.9161757581054695
16,2014-01-26,-2.119546798230149
17,2014-01-27,2.930577401684827
18,2014-01-28,2.066987166405018
19,2014-01-29,1.2247176918723108
20,2014-01-30,0.6772733869584652
21,2014-01-31,0.14039519298924316
22,2014-02-01,-3.6007560295937147
23,2014-02-02,-3.044323589061626
24,2014-02-03,1.5336300683807464
25,2014-02-04,2.201969804094063
26,2014-02-05,0.44287106458338055
27,2014-02-06,0.8689995394948887
28,2014-02-07,0.4727992274224491
29,2014-02-08,-3.3103900498564096
30,2014-02-09,-2.2469305247422486
31,2014-02-10,1.192186776419359
32,2014-02-11,2.1144556822212053
33,2014-02-12,0.3413027699316132
34,2014-02-13,-0.018247676522501633
35,2014-02-14,-0.14506803258787077
36,2014-02-15,-4.012737963582422
37,2014-02-16,-2.768197677868215
38,2014-02-17,0.5648508880309876
39,2014-02-18,1.5359394815647829
40,2014-02-19,1.3449688067888033
41,2014-02-20,1.0888526592785341
42,2014-02-21,0.9465908614894384
43,2014-02-22,-3.434777111511219
44,2014-02-23,-2.4715696737281885
45,2014-02-24,2.3347820425221353
46,2014-02-25,2.007625774581256
47,2014-02-26,1.6983862662763871
48,2014-02-27,1.1863656322192497
49,2014-02-28,0.5828709417094046
50,2014-03-01,-2.808765971467454
51,2014-03-02,-2.247066526217927
52,2014-03-03,2.7359735619533323
53,2014-03-04,2.554428839981392
54,2014-03-05,1.383065920413497
55,2014-03-06,1.0682370948447957
56,2014-03-07,-0.016370555707294312
57,2014-03-08,-3.507919954866541
58,2014-03-09,-2.951132871007615
59,2014-03-10,1.372711227299271
60,2014-03-11,0.8445166873225902
61,2014-03-12,0.39534611729087943
62,2014-03-13,0.7234711922544965
63,2014-03-14,0.10512212298246204
64,2014-03-15,-3.7975097236249997
65,2014-03-16,-2.3400729565903724
66,2014-03-17,1.2945819247881032
67,2014-03-18,1.0911946605672598
68,2014-03-19,1.1865758948327894
69,2014-03-20,0.5901717403382114
70,2014-03-21,0.18004959731203787
71,2014-03-22,-3.6095894971451497
72,2014-03-23,-2.888107757953328
73,2014-03-24,2.161961546955858
74,2014-03-25,1.4762276516245607
75,2014-03-26,1.7893747593978822
76,2014-03-27,1.3165105409383557
77,2014-03-28,-0.2706064370810455
78,2014-03-29,-4.016301167062995
79,2014-03-30,-2.7662062317612954
80,2014-03-31,2.193823207830154
81,2014-04-01,1.1447443940793531
82,2014-04-02,2.142929710214851
83,2014-04-03,1.282559320163149
84,2014-04-04,0.6822108884084944
85,2014-04-05,-3.358183828763307
86,2014-04-06,-2.615216484434057
87,2014-04-07,2.1236404598828638
88,2014-04-08,0.6769545312093587
89,2014-04-09,0.9782342772477745
90,2014-04-10,1.295573048699568
91,2014-04-11,0.9428790556224248
92,2014-04-12,-3.6976392343532942
93,2014-04-13,-3.002402193256551
94,2014-04-14,1.352533306327152
95,2014-04-15,1.7233467123438493
96,2014-04-16,1.2574893336584843
97,2014-04-17,0.7151737853439396
98,2014-04-18,-2.428654689794199
99,2014-04-19,-3.5139280011399343
100,2014-04-20,-2.8152810936082306
101,2014-04-21,1.2683153309154538
102,2014-04-22,2.132208306300591
103,2014-04-23,1.3613009976427684
104,2014-04-24,1.5990278659011126
105,2014-04-25,0.27179011150026483
106,2014-04-26,-3.1010554311971235
107,2014-04-27,-2.335888318279624
108,2014-04-28,2.2006054900999574
109,2014-04-29,1.7246674996488414
110,2014-04-30,1.2298058037116035
111,2014-05-01,0.8533582292729679
112,2014-05-02,0.5164351813166159
113,2014-05-03,-3.6303076630339026
114,2014-05-04,-3.111730488174844
115,2014-05-05,1.8891815267154624
116,2014-05-06,1.4991859154381546
117,2014-05-07,0.944809767660518
118,2014-05-08,1.6198096822450425
119,2014-05-09,0.4777334378803232
120,2014-05-10,-3.2872167052603642
121,2014-05-11,-3.3520429258997355
122,2014-05-12,1.999370142153039
123,2014-05-13,1.7910024397903257
124,2014-05-14,0.4861367010565178
125,2014-05-15,1.0715331980696563
126,2014-05-16,-0.03594421217156182
127,2014-05-17,-3.1096109473606717
128,2014-05-18,-2.7859760536357485
129,2014-05-19,2.0183497590878794
130,2014-05-20,1.3189178207622672
131,2014-05-21,0.22719089989786764
132,2014-05-22,1.0578685948449804
133,2014-05-23,0.9994895659017492
134,2014-05-24,-3.4499316925480255
135,2014-05-25,-3.215381103252515
136,2014-05-26,-0.6129521734311258
137,2014-05-27,2.4951613341439924
138,2014-05-28,1.2444029722061507
139,2014-05-29,1.1546051757486873
140,2014-05-30,1.2497371328346623
141,2014-05-31,-2.8964540165389874
142,2014-06-01,-2.6118154091427264
143,2014-06-02,2.0732985908222363
144,2014-06-03,2.012334635440882
145,2014-06-04,1.17115161268545
146,2014-06-05,0.8418051643839288
147,2014-06-06,0.33579226455063405
148,2014-06-07,-3.568299429403613
149,2014-06-08,-2.901339295766889
150,2014-06-09,1.1844280102189249
151,2014-06-10,2.123238602382002
152,2014-06-11,0.8015611354370415
153,2014-06-12,1.5026647698538955
