Model,shift,rmse SENT TWO,rmse ISENTVAL,rmse GSENTVAL,rmse GSENT,rmse ISENT,rmse DIFF,rmse NO SENT,pc SENT TWO,pc ISENTVAL,pc GSENTVAL,pc GSENT,pc ISENT,pc DIFF,pc NO SENT,DM SENT TWO,DM ISENTVAL,DM GSENTVAL,DM GSENT,DM ISENT,DM DIFF,DM NO SENT,pval SENT TWO,pval ISENTVAL,pval GSENTVAL,pval GSENT,pval ISENT,pval DIFF,pval NO SENT
MR,1,0.0008379594355657,0.0008318331260052,0.0008300175576514,0.0008326167970613,0.0008355422348345,0.0008395720453171,0.000830575665673,0.0088899424794306,0.0015139624048036,-0.0006719532544647,0.0024574899948153,0.0059796709279501,0.0108314991828622,0.0,-0.0001231869733733,-2.090178635937164e-05,9.266864446730588e-06,-3.3944135660822154e-05,-8.273961637090434e-05,-0.0001502359751912,0.0,0.999901716529128,0.9999833237227962,0.999992606526654,0.9999729180173444,0.9999339870404786,0.9998801357589272,1.0
MR,3,0.0016238814094348,0.0015912887710726,0.0016016778139114,0.0016188246150431,0.0016222897035629,0.0016208186492726,0.0016234038285058,0.000294184922232,-0.0197825438558448,-0.0133830007130119,-0.0028207482219045,-0.0006862894637208,-0.0015924437209098,0.0,-1.5499706228546345e-05,0.0010318206253043,0.000700288238785,0.0001483851885537,3.614077478277916e-05,8.382186901270555e-05,0.0,0.999987633718302,0.9991767726393036,0.9994412822543072,0.999881612399117,0.9999711654533916,0.9999331235812988,1.0
MR,5,0.0020365384462118,0.001996342731798,0.0020328596388307,0.0020406393311206,0.0020409481196825,0.0020299376603296,0.0020440816628923,-0.0036902716840603,-0.0233547083567746,-0.0054900076965044,-0.0016840480662594,-0.001532983376706,-0.0069194899692402,0.0,0.0003074984659787,0.0019269031022995,0.0004570522586518,0.0001404673302106,0.0001278766105233,0.0005756461648263,0.0,0.9997546655241196,0.9984626411841931,0.999635345581865,0.9998879295896465,0.999897974965406,0.9995407266695938,1.0
MR,7,0.0023197702171512133,0.0022854151600582434,0.0023159685349784472,0.002318669853720523,0.0023199398706982444,0.0023149573153218757,0.002337601639918621,-0.007628084470384136,-0.022324796051304278,-0.009254401849635475,-0.008098807715910594,-0.0075555085685991685,-0.009686990379393164,0.0,0.000829259870631808,0.002409057732313561,0.0010052379220609883,0.0008802248508083773,0.0008213999580562552,0.0010519981955085475,0.0,0.9993383836907919,0.9980779601393325,0.9991979814873105,0.999297721824929,0.9993446546383653,0.9991606743079751,1.0
